de	hsb
Unbekannt	Njeznaju
Drucken	Ćišćeć
Drucker	Ćišćak
Typ:	Družina:
Kommentar:	Komentar:
Sofort	Hnydom
Benutzername:	Mjeno wužiwarja:
& Passwort:	Škitne & hesło:
& Abbrechen	& Přetorhnyć
Keine	Žane
Rechner:	Server:
Ordner	Filter
Name	Mjeno
Wert	Hódnota
Nur lesen	Jenož čitać
& Passwort:	& Hesło:
Angehalten	zastajene
Gerät:	Grat:
Entfernen	Wotstronić
& Einrichten...	Konfiguracija...
Hinzufügen	Dodaj
USB	USB
Beschreibung:	Wopisanje:
Modell:	Model:
Allgemeine Einstellungen	Powšitkowne nastajenja
& Einstellungen	& Nastajenja
Vorschau	Přehladka
Modell:	Model:
Beschreibung:	Wopisanje:
Ändern...	Změnić...
Status	Staw
& Wiederaufnehmen	& Pokročować
Entfernen	Wotstronić
Aktualisieren	Ponowić
Anhalten	Zastajić
Fortsetzen	Pokročować
Entfernen	Wotstronić
Kommentar	Komentar
Bestätigung	Wobkrućenje
Beschreibung	Wopisanje
Gerät	Grat
Nach & oben	& Horje
& Hinzufügen	Dodaj
Abbrechen	Přetorhnyć
& Beschreibung:	& Wopisanje:
Befehl:	Přikaz:
Änderungen anwenden	Změny přiwzać
Datei:	Dataja:
Neuer Befehl	Nowy přikaz
& Auswählen...	& Přelistuj...
Name:	Mjeno:
Neu...	Nowy...
(Standard)	(standard)
Eigenschaften	Swójstwa
& Adresse:	& Městno:
Datei öffnen	Dataju wočinić
Wert:	Hódnota:
& Alle	& Wšitke
Seiten	Strony
& Exportieren...	& Eksportować...
Filter	Filtry
Befehl:	Přikaz:
A4	A4
& Name:	& Mjeno:
Thomas Diehl,Thomas ReitelbachEMAIL OF TRANSLATORS	EMAIL OF TRANSLATORS
(c) 2006-2008, die KDE-Entwickler	Copyright 2006- 2008, KDE skupina
Autor und Betreuer	Awtor a zastaraćel
Thomas ReitelbachEMAIL OF TRANSLATORS	Edward WornarEMAIL OF TRANSLATORS
Autor	Awtor
SpielName	HraName
& Datei	& Dataja
Öffnen	Wočinić
Speichern unter	Zawěsćić jako
& Spiel	& Hra
& Ansicht	& Přehladka
Haupt-Werkzeugleiste	Hłowny nastrojowy pas
Abbrechen	Přetorhnyć
...	...
OK	OK
Einstellungen	Nastajenja
International	Mjezynarodny
Allgemein	Generelnje
Information	informacija
Optionen	Operacija
Passwort:	Hesło:
Zurück	Wróćo
Ablehnen	Wotpokazać
Aktualisieren	Aktualizowanje
& Wiederaufnehmen	& Pokročować
Ablehnen	& Wotpokazać
Autor	Awtor
& Spiel	& Hra
& Hilfe	Pomoc
Haupt-Werkzeugleiste	Hłowny nastrojowy pas
& Datei	& Dataja
Haupt-Werkzeugleiste	Hłowny nastrojowy pas
Zusammenfassung:	Zjeće:
& Datei	& Dataja
Haupt-WerkzeugleisteNAME OF TRANSLATORS	Hłowny nastrojowy pasNAME OF TRANSLATORS
Kommentar	Komentar
Ablehnen	& Wotpokazać
& Annehmen	& Přiwzać
Name	Mjeno
Fehler	Zmylk
Bereit	Hotowo
Name:	Mjeno:
& Sprache:	& Rěč:
Kommentar:	Komentar:
Abbrechen	Přetorhnyć
OK	OK
1	1
2	2
& Abbrechen	& Přetorhnyć
Fehler	Zmylk
Hauptfenster	Hłownewokno
Allgemein	Generelnje
Johannes ObermayrEMAIL OF TRANSLATORS	EMAIL OF TRANSLATORS
Start	Započeć
Beenden	Kónc
Bereit	Hotowo
Keine	Žane
Einstellungen	Nastajenja
Farben	Barby
& DateiNAME OF TRANSLATORS	& DatajaNAME OF TRANSLATORS
Hauptfenster	Hłownewokno
Hinzufügen	Dodać
& Name:	Mjeno
& Rückgängig	Wróćo
& Einfügen	& Zasunyć
Nein	Ně
Name	Mjeno
Suchen	Pytać
Schließen	Začinić
Strg	Strgkeyboard- key- name
Umschalt	Wulkopisanjekeyboard- key- name
pm	popołdnju
Öffnen	Wočinić
& Abbrechen	& Přetorhnyć
Schließen	& Začinić
Anwenden	Wužij
Minimieren	Minimalizować
Unbekannter Fehler	Njeznaty zmylk
Einfügen	Zasunyć
Unbekannter Fehler	Njeznaty zmylk
Einfügen	Zasunyć
Eingabe	Zapodać
Weniger	Testy
