index	reason	de	hsb
14	length_ratio	Dekodierungsmodul für Dateien, die von libsndfile unterstützt werdenName	Name
16	length_ratio	Dekodierungsmodul für MPEG 1 Layer III-DateienName	Name
26	length_ratio	Kodierungsmodul zur Unterstützung externer KodierprogrammeName	Name
27	length_ratio	Bedienelement zur externen Audio-KodierungName	Name
29	length_ratio	Kodierungsmodul zur Kodierung von MPEG1 Layer III-Dateien (MP3)Name	Name
30	length_ratio	Bedienelement zur Kodierung von MP3 mittels LameName	Name
32	length_ratio	Kodierungsmodul zur Kodierung von Ogg Vorbis-DateienName	Name
33	length_ratio	Bedienelement zur Kodierung von Ogg VorbisName	Name
35	length_ratio	Kodierungsmodul zur Kodierung von < Name > -DateienName	Name
37	length_ratio	Kodierungsmodul zur Kodierung von vielen Audioformaten mittels SoXName	Name
38	length_ratio	Bedienelement zur Kodierung mittels SoXName	Name
40	length_ratio	Modul zum Umbenennen von Audio-Dateien in einem Daten-Projekt, basierend auf den Metadaten.Name	Name
42	length_ratio	Modul zur Abfrage eines CDDB-Servers nach Informationen zu einem Audio-ProjektName	Name
43	identical	K3bName	K3bName
44	length_ratio	BrennprogrammComment	Palenje CD & DVDComment
75	identical	DolphinGenericName	DolphinGenericName
105	length_ratio	1 bis 10, zum Beispiel > =7GenericName	GenericName
106	length_ratio	Verwenden Sie <, < =,:, > = und > .Name	Name
110	length_ratio	In Byte, zum Beispiel > 1000Name	Name
114	length_ratio	zum Beispiel > 1999-10-10Name	Name
118	length_ratio	DokumentbrowserGenericName	Přelistowar za tekstowe dokumentyGenericName
121	identical	Qt DesignerComment	Qt DesignerComment
123	identical	Qt DlgEditGenericName	Qt DlgEditGenericName
125	identical	EclipseGenericName	EclipseGenericName
127	identical	FormDesignerGenericName	FormDesignerGenericName
129	identical	ForteGenericName	ForteGenericName
131	identical	J2MEName	J2MEName
132	identical	Qt LinguistGenericName	Qt LinguistGenericName
135	identical	PoseName	PoseName
136	identical	ScedGenericName	ScedGenericName
138	identical	EmacsGenericName	EmacsGenericName
140	identical	gEditName	gEditName
141	identical	Vi IMprovedName	Vi IMprovedName
142	identical	Lucid EmacsName	Lucid EmacsName
143	identical	NanoName	NanoName
144	identical	NeditName	NeditName
145	identical	PicoName	PicoName
150	identical	AlephoneComment	AlephoneComment
152	identical	BatallionGenericName	BatallionGenericName
154	identical	BattleballGenericName	BattleballGenericName
156	identical	ClanBomberName	ClanBomberName
157	identical	cxhextrisGenericName	cxhextrisGenericName
159	identical	Frozen BubbleName	Frozen BubbleName
160	identical	GnibblesGenericName	GnibblesGenericName
162	identical	Gnobots IIName	Gnobots IIName
163	identical	MuresName	MuresName
164	identical	Rocks n DiamondsGenericName	Rocks n DiamondsGenericName
166	identical	ScavengerName	ScavengerName
167	identical	Super Methane BrothersName	Super Methane BrothersName
168	identical	TrophyGenericName	TrophyGenericName
170	identical	TuxRacerName	TuxRacerName
171	identical	XKoboName	XKoboName
172	identical	XSoldierName	XSoldierName
173	identical	GataxxName	GataxxName
175	identical	GlinesName	GlinesName
180	identical	GnotravexName	GnotravexName
181	identical	GnotskiGenericName	GnotskiGenericName
184	identical	IagnoGenericName	IagnoGenericName
186	identical	Same GNOMEGenericName	Same GNOMEGenericName
188	identical	XboardName	XboardName
189	identical	XgammonName	XgammonName
190	identical	AisleRiotGenericName	AisleRiotGenericName
192	identical	FreeCellName	FreeCellName
193	identical	PySolName	PySolName
194	identical	XPat 2Name	XPat 2Name
195	identical	ClanbomberName	ClanbomberName
196	identical	DefendguinGenericName	DefendguinGenericName
198	identical	ChessMailGenericName	ChessMailGenericName
200	length_ratio	Arcade-EmulatorName	Emulator za třělanske hryName
201	identical	QmamecatName	QmamecatName
202	identical	GTaliGenericName	GTaliGenericName
204	identical	Penguin CommandName	Penguin CommandName
205	identical	AngbandComment	AngbandComment
207	identical	MoriaComment	MoriaComment
209	identical	NetHackGenericName	NetHackGenericName
211	identical	RogueGenericName	RogueGenericName
213	identical	ToMEName	ToMEName
214	identical	ZAngbandGenericName	ZAngbandGenericName
216	identical	FreecivGenericName	FreecivGenericName
220	identical	XScorchComment	XScorchComment
222	identical	XShipWarsName	XShipWarsName
225	identical	BlenderGenericName	BlenderGenericName
227	identical	Electric EyesGenericName	Electric EyesGenericName
229	identical	GhostViewGenericName	GhostViewGenericName
231	identical	GIMPGenericName	GIMPGenericName
232	length_ratio	BildbearbeitungName	Program za wobdźěłanje wobrazowName
235	identical	GPhotoGenericName	GPhotoGenericName
238	duplicate	BildbetrachterName	Přehladowar wobrazowName
239	identical	GVGenericName	GVGenericName
241	identical	InkscapeGenericName	InkscapeGenericName
243	identical	SketchGenericName	SketchGenericName
245	identical	SodipodiName	SodipodiName
246	identical	TGifGenericName	TGifGenericName
250	identical	XfigName	XfigName
253	identical	XpcdGenericName	XpcdGenericName
255	identical	XVGenericName	XVGenericName
257	identical	XwpickGenericName	XwpickGenericName
258	length_ratio	BildschirmfotosName	Program za zawěsćenje wobrazowki jako wobrazName
259	identical	ArenaGenericName	ArenaGenericName
261	identical	BalsaGenericName	BalsaGenericName
263	identical	BlueFishGenericName	BlueFishGenericName
267	identical	CoolmailGenericName	CoolmailGenericName
271	identical	DpsftpGenericName	DpsftpGenericName
273	identical	DrakSyncGenericName	DrakSyncGenericName
277	identical	EpiphanyName	EpiphanyName
278	identical	EtherealGenericName	EtherealGenericName
280	identical	EvolutionName	EvolutionName
281	identical	FacesName	FacesName
282	identical	FetchmailconfGenericName	FetchmailconfGenericName
284	identical	GabberGenericName	GabberGenericName
285	identical	Instant MessengerName	Instant MessengerName
286	identical	GaimName	GaimName
287	identical	GaleonName	GaleonName
288	identical	gFTPName	gFTPName
289	identical	GNOMEICUGenericName	GNOMEICUGenericName
291	identical	GnomeMeetingGenericName	GnomeMeetingGenericName
296	identical	ickleGenericName	ickleGenericName
298	identical	Java Web StartName	Java Web StartName
299	identical	KNewsGenericName	KNewsGenericName
301	identical	LicqName	LicqName
304	identical	MozillaName	MozillaName
305	identical	FirefoxName	FirefoxName
306	identical	ThunderbirdName	ThunderbirdName
307	identical	Netscape 6Name	Netscape 6Name
308	identical	NetscapeName	NetscapeName
309	identical	Netscape MessengerName	Netscape MessengerName
310	identical	NmapfeGenericName	NmapfeGenericName
312	identical	OperaName	OperaName
313	identical	PanName	PanName
314	identical	SylpheedName	SylpheedName
318	identical	LinksName	LinksName
319	identical	LynxName	LynxName
320	identical	MuttName	MuttName
